Marca de Tiempo, Uso de Memoria (%)
10:50:56,51.1
10:50:57,51.1
10:50:58,51.1
10:50:59,51.2
10:51:00,51.2
10:51:01,51.2
10:51:02,51.1
10:51:03,51.2
10:51:04,51.2
10:51:05,51.2
10:51:06,51.2
10:51:07,51.2
10:51:08,51.1
10:51:09,51.1
10:51:10,51.1
10:51:11,51.1
10:51:12,51.1
10:51:13,51.3
10:51:14,51.2
10:51:15,51.3
10:51:16,51.3
10:51:17,51.2
10:51:18,51.2
10:51:19,51.2
10:51:20,51.2
10:51:21,51.2
10:51:22,51.1
10:51:23,51.1
10:51:24,51.2
10:51:25,51.3
10:51:26,51.3
10:51:27,51.3
10:51:28,51.3
10:51:29,51.3
10:51:30,51.3
10:51:31,51.4
10:51:32,51.4
10:51:33,51.4
10:51:34,51.4
10:51:35,51.4
10:51:36,51.6
10:51:37,51.7
10:51:38,51.8
10:51:39,51.6
10:51:40,51.8
10:51:41,51.8
10:51:42,51.8
10:51:43,51.8
10:51:44,51.8
10:51:45,51.7
10:51:46,51.7
10:51:47,51.7
10:51:48,51.7
10:51:49,51.7
10:51:50,51.7
10:51:51,51.7
10:51:53,51.7
10:51:54,51.7
10:51:55,51.7
10:51:56,51.6
10:51:57,51.7
10:51:58,51.6
10:51:59,51.7
10:52:00,51.6
10:52:01,51.7
10:52:02,51.7
10:52:03,51.7
10:52:04,51.7
10:52:05,51.7
10:52:06,51.7
10:52:07,51.6
10:52:08,51.6
10:52:09,51.5
10:52:10,51.5
10:52:11,51.5
10:52:12,51.6
10:52:13,51.6
10:52:14,51.6
10:52:15,51.6
10:52:16,51.6
10:52:17,51.7
10:52:18,51.7
10:52:19,51.7
10:52:20,51.7
10:52:21,51.7
10:52:22,51.7
10:52:23,51.7
10:52:24,51.7
10:52:25,51.7
10:52:26,51.7
10:52:27,51.7
10:52:28,51.7
10:52:29,51.7
10:52:30,51.7
10:52:31,51.6
10:52:32,51.7
10:52:33,51.7
10:52:34,51.7
10:52:35,51.7
10:52:36,51.7
10:52:37,51.7
10:52:38,51.8
10:52:39,51.7
10:52:40,52.5
10:52:41,52.6
10:52:42,52.5
10:52:43,52.6
10:52:44,52.5
10:52:45,52.5
10:52:46,52.5
10:52:47,52.5
10:52:48,52.4
10:52:49,52.4
10:52:50,52.6
10:52:51,52.7
10:52:52,52.7
10:52:53,52.7
10:52:54,52.7
10:52:55,52.7
10:52:56,52.7
10:52:57,52.7
10:52:58,52.7
